fid,id_plot,type_piste,dbh,statut_vit,deg_tronc,deg_houp,deg_aplomb,num_onf,reserve,essence_com,essence,date_heure,commentaire
"55","3",Piste secondaire,"15",vivant,"1 - Petites blessures (<200cm²)
",1 - Une ou plusieurs branches secondaires cassées,0 - Arbre droit,,,,,2024/09/17 12:15:31,
"56","3",Piste secondaire,"45",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 12:16:30,
"57","3",Piste secondaire,"55",vivant,0 - Aucune blessure,1 - Une ou plusieurs branches secondaires cassées,0 - Arbre droit,,,true,Maro rouge ,2024/09/17 12:16:59,
"58","4",Piste secondaire,"30",vivant,"2 - Blessures moyennes (200-600 cm²)
",2 - Une ou plusieurs branches principales cassées ,2 - Moyennement penché (>10°),,,,,2024/09/17 13:21:54,
"59","4",Piste secondaire,"15",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 13:22:19,
"60","4",Piste secondaire,"15",vivant,"1 - Petites blessures (<200cm²)
",0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 13:22:54,
"61","4",Piste secondaire,"25",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Maro noir,2024/09/17 13:23:36,
"62","4",Piste secondaire,"25",mort,,2 - Une ou plusieurs branches principales cassées ,1 - Légèrement penché (<10°),,,,,2024/09/17 13:25:50,
"63","4",Piste secondaire,"95",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,Gaillac,2024/09/17 13:27:29,
"64","4",Piste secondaire,"95",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 13:29:36,
"65","4",Piste secondaire,"15",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 13:30:26,
"66","4",Piste secondaire,"15",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 13:37:01,
"67","11",Piste secondaire,"65",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Cèdre noir,2024/09/17 16:16:01,
"68","11",Piste secondaire,"10",vivant,"1 - Petites blessures (<200cm²)
",1 - Une ou plusieurs branches secondaires cassées,,,,true,,2024/09/17 16:17:59,
"69","12",Piste secondaire,"25",mort,"3 - Blessures importantes (>600cm²)
",3 - Arbre étêté,1 - Légèrement penché (<10°),,,true,,2024/09/17 16:32:35,
"70","12",Piste secondaire,"20",mort,"3 - Blessures importantes (>600cm²)
",3 - Arbre étêté,1 - Légèrement penché (<10°),,,true,,2024/09/17 16:34:03,
"71","12",Piste secondaire,"50",vivant,"3 - Blessures importantes (>600cm²)
",0 - Aucune branche endommagée,0 - Arbre droit,,,true,,2024/09/17 16:34:19,
"72",,,"10",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,false,,2024/09/17 16:48:05,
"73",,,"28",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 16:48:36,
"74",,,"20",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Maro rouge,2024/09/17 16:50:22,
"75",,Piste secondaire,"80",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 16:51:08,
"76",,,"30",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 16:51:23,
"77",,,"28",mort,,,,,,,,2024/09/17 16:52:05,
"78",,,"80",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 16:52:21,
"79",,,"20",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 16:53:30,
"80",,Piste secondaire,"15",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 16:53:37,
"81",,,"20",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 16:54:41,
"82",,,"10",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 16:54:52,
"83",,,"10",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 16:56:01,
"84",,,"15",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 16:56:10,
"85",,,"45",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,,,2024/09/17 17:09:28,
"86",,,"90",intact,0 - Aucune blessure,0 - Aucune branche endommagée,0 - Arbre droit,,,true,Maro rouge,2024/09/17 17:09:55,
